iter	Logloss
0	0.6242671368
1	0.5654604675
2	0.5155604909
3	0.4721473657
4	0.4361679126
5	0.4063219873
6	0.3818422717
7	0.3591323442
8	0.3417449185
9	0.325525915
10	0.311135964
11	0.2999663938
12	0.2899305774
13	0.2810707654
14	0.2734477256
15	0.2668283899
16	0.2614117993
17	0.2559596522
18	0.2520032221
19	0.2471344072
20	0.2425397027
21	0.2386263153
22	0.2351740962
23	0.2328159378
24	0.2300383844
25	0.2280841563
26	0.226065576
27	0.2241961628
28	0.2223325024
29	0.2201724085
30	0.2184020923
31	0.2169103262
32	0.2154316454
33	0.213874257
34	0.2123589657
35	0.2106782262
36	0.2095530823
37	0.2084570862
38	0.207191178
39	0.206068493
40	0.2052549417
41	0.2040392615
42	0.2028105979
43	0.2015310215
44	0.2007335433
45	0.2000828659
46	0.1992560726
47	0.198681049
48	0.1980375817
49	0.1971634671
50	0.1963458965
51	0.1957667675
52	0.195381292
53	0.1947984128
54	0.1942963492
55	0.1936391906
56	0.1931982435
57	0.1925556873
58	0.192085776
59	0.1916426791
60	0.1911783591
61	0.1908465427
62	0.1903913519
63	0.1899848136
64	0.1896195296
65	0.1893206812
66	0.188972987
67	0.1885983468
68	0.1882902015
69	0.1877683973
70	0.1872749064
71	0.1869407406
72	0.1865433959
73	0.1862054084
74	0.1859186853
75	0.1856405007
76	0.1852567549
77	0.185017519
78	0.1847582963
79	0.1844529946
80	0.1841161544
81	0.1838437042
82	0.1836160514
83	0.1833308009
84	0.1831191359
85	0.1827913119
86	0.1825427188
87	0.1822885712
88	0.1820210281
89	0.1817838686
90	0.1814728887
91	0.1812432829
92	0.1810502215
93	0.180838718
94	0.1806823343
95	0.1804906313
96	0.1803398893
97	0.1801547668
98	0.1799183171
99	0.1797488853
100	0.1795843712
101	0.1794234274
102	0.1791474482
103	0.1789938854
104	0.1788600888
105	0.1786414802
106	0.178518631
107	0.1784013968
108	0.1782500252
109	0.1780965018
110	0.1779767432
111	0.1777879334
112	0.177645112
113	0.1774824089
114	0.1773877173
115	0.1772600549
116	0.1771648042
117	0.1770178671
118	0.1768762679
119	0.1766913653
120	0.1765248629
121	0.1763520632
122	0.1762339265
123	0.1761126461
124	0.1759702821
125	0.1758422712
126	0.1757315016
127	0.1756391489
128	0.175523678
129	0.1754383384
130	0.1753740152
131	0.1752931605
132	0.1751625867
133	0.1750186536
134	0.1749347212
135	0.1748222401
136	0.1747531798
137	0.1746761664
138	0.1746110755
139	0.1745234944
140	0.17445908
141	0.1743814744
142	0.1742937667
143	0.1741955925
144	0.1741127618
145	0.1740485598
146	0.1739157347
147	0.1738473898
148	0.1737858844
149	0.1737305394
150	0.1736751258
151	0.1736011401
152	0.1735408907
153	0.1734593325
154	0.1733704679
155	0.1733073486
156	0.1732394889
157	0.1731819761
158	0.1730765122
159	0.1730167534
160	0.1729500813
161	0.1728372767
162	0.1727657889
163	0.1726907772
164	0.1725991858
165	0.172545652
166	0.172487404
167	0.172423878
168	0.172378849
169	0.1722978735
170	0.1721797758
171	0.1721092253
172	0.1720605436
173	0.1719968415
174	0.1719451181
175	0.1718796058
176	0.1717654974
177	0.1717179241
178	0.1716799144
179	0.1716328089
180	0.171583653
181	0.1715380219
182	0.1715026965
183	0.1714676483
184	0.1713772943
185	0.1713264707
186	0.1712609476
187	0.1711975401
188	0.1711602013
189	0.171067768
190	0.1710135146
191	0.1709609025
192	0.1709339384
193	0.1708939742
194	0.1708434762
195	0.1707768396
196	0.1707319277
197	0.1706723531
198	0.1706140521
199	0.170538085
200	0.1705025313
201	0.1704679307
202	0.1704139485
203	0.1703792147
204	0.1703333105
205	0.1702867564
206	0.170248193
207	0.1702115893
208	0.1701638444
209	0.170125494
210	0.1700962078
211	0.1700589334
212	0.1700201832
213	0.1699779088
214	0.1699553705
215	0.1699191072
216	0.1698667714
217	0.1698388173
218	0.1698014838
219	0.1697458166
220	0.1697270172
221	0.1696850297
222	0.1696478622
223	0.1696156522
224	0.1695904615
225	0.1695662188
226	0.1695351852
227	0.1694981932
228	0.1694675124
229	0.1694388069
230	0.1694129986
231	0.1693849111
232	0.1693490477
233	0.1693060164
234	0.169269162
235	0.1692377884
236	0.169211341
237	0.1691862994
238	0.1691346183
239	0.1691037507
240	0.1690711894
241	0.1690455991
242	0.169017458
243	0.1689962348
244	0.1689710974
245	0.1689395906
246	0.1689110284
247	0.1688805067
248	0.1688468008
249	0.1688136867
250	0.1687892098
251	0.1687623631
252	0.1687312344
253	0.1687083713
254	0.1686726091
255	0.1686360324
256	0.1686039559
