iter	Passed	Remaining
0	11	9617
1	23	9666
2	35	9584
3	47	9736
4	59	9736
5	72	9767
6	84	9761
7	97	9870
8	109	9861
9	122	9872
10	134	9846
11	146	9853
12	158	9820
13	170	9777
14	181	9737
15	193	9697
16	205	9678
17	216	9644
18	228	9612
19	240	9598
20	254	9678
21	267	9676
22	278	9650
23	289	9602
24	301	9570
25	312	9537
26	338	9940
27	358	10138
28	388	10576
29	406	10692
30	418	10641
31	430	10576
32	441	10521
33	453	10471
34	464	10411
35	477	10382
36	489	10347
37	501	10297
38	512	10250
39	524	10209
40	535	10165
41	548	10155
42	561	10127
43	572	10088
44	586	10084
45	597	10048
46	609	10016
47	621	9977
48	633	9951
49	645	9925
50	668	10059
51	693	10233
52	706	10207
53	721	10222
54	734	10197
55	745	10160
56	757	10130
57	772	10141
58	785	10119
59	797	10094
60	809	10054
61	821	10026
62	833	9997
63	845	9970
64	856	9929
65	873	9969
66	895	10049
67	907	10019
68	919	9995
69	931	9966
70	942	9928
71	954	9899
72	966	9876
73	978	9849
74	989	9816
75	1000	9785
76	1013	9762
77	1024	9730
78	1035	9696
79	1052	9725
80	1077	9817
81	1102	9912
82	1126	9993
83	1142	10001
84	1154	9970
85	1166	9939
86	1177	9911
87	1190	9888
88	1201	9857
89	1213	9826
90	1224	9794
91	1235	9764
92	1247	9739
93	1260	9719
94	1272	9698
95	1283	9667
96	1295	9642
97	1307	9615
98	1318	9586
99	1329	9559
100	1342	9547
101	1355	9530
102	1367	9507
103	1379	9481
104	1390	9453
105	1402	9431
106	1413	9404
107	1425	9382
108	1436	9357
109	1447	9328
110	1458	9301
111	1469	9277
112	1480	9251
113	1492	9228
114	1503	9206
115	1515	9181
116	1525	9155
117	1537	9131
118	1550	9118
119	1562	9102
120	1574	9081
121	1586	9062
122	1599	9049
123	1610	9028
124	1622	9005
125	1633	8982
126	1645	8964
127	1656	8940
128	1667	8917
129	1679	8899
130	1690	8876
131	1702	8859
132	1714	8842
133	1726	8827
134	1737	8804
135	1749	8784
136	1765	8789
137	1776	8767
138	1788	8747
139	1800	8731
140	1811	8712
141	1828	8717
142	1843	8712
143	1855	8697
144	1866	8677
145	1877	8655
146	1889	8637
147	1900	8617
148	1911	8595
149	1922	8574
150	1933	8553
151	1944	8531
152	1955	8510
153	1966	8492
154	1977	8471
155	1988	8451
156	2000	8435
157	2012	8420
158	2025	8405
159	2035	8385
160	2047	8369
161	2060	8354
162	2071	8335
163	2083	8320
164	2096	8308
165	2107	8288
166	2118	8269
167	2130	8254
168	2142	8239
169	2153	8222
170	2165	8207
171	2177	8190
172	2188	8170
173	2199	8152
174	2211	8139
175	2223	8122
176	2235	8107
177	2246	8089
178	2257	8071
179	2268	8053
180	2280	8038
181	2291	8019
182	2302	8003
183	2315	7990
184	2327	7976
185	2339	7960
186	2351	7947
187	2363	7933
188	2376	7920
189	2387	7904
190	2398	7886
191	2411	7873
192	2423	7859
193	2434	7844
194	2446	7829
195	2457	7812
196	2469	7797
197	2480	7779
198	2492	7766
199	2504	7752
200	2516	7737
201	2528	7724
202	2541	7711
203	2552	7696
204	2563	7679
205	2576	7667
206	2588	7651
207	2599	7636
208	2613	7626
209	2624	7610
210	2636	7597
211	2647	7581
212	2660	7568
213	2671	7551
214	2683	7538
215	2695	7524
216	2706	7508
217	2717	7491
218	2729	7477
219	2741	7464
220	2753	7449
221	2769	7447
222	2781	7433
223	2793	7419
224	2804	7402
225	2815	7388
226	2827	7375
227	2840	7361
228	2851	7345
229	2863	7333
230	2875	7319
231	2887	7305
232	2900	7293
233	2912	7280
234	2922	7263
235	2934	7250
236	2946	7236
237	2958	7222
238	2970	7209
239	2982	7194
240	2994	7182
241	3006	7169
242	3018	7155
243	3030	7141
244	3042	7128
245	3054	7113
246	3066	7100
247	3077	7086
248	3089	7073
249	3103	7063
250	3115	7051
251	3128	7038
252	3140	7025
253	3151	7010
254	3164	6998
255	3175	6984
256	3188	6971
257	3199	6956
258	3211	6944
259	3223	6930
260	3235	6916
261	3246	6901
262	3258	6887
263	3270	6874
264	3281	6859
265	3292	6845
266	3305	6833
267	3317	6819
268	3334	6817
269	3358	6828
270	3375	6824
271	3387	6812
272	3399	6798
273	3411	6785
274	3422	6769
275	3434	6756
276	3445	6740
277	3456	6726
278	3467	6712
279	3480	6699
280	3491	6684
281	3503	6671
282	3515	6658
283	3527	6644
284	3539	6631
285	3552	6621
286	3564	6607
287	3575	6592
288	3588	6581
289	3601	6569
290	3613	6556
291	3625	6544
292	3638	6532
293	3650	6519
294	3662	6505
295	3675	6493
296	3687	6480
297	3699	6467
298	3710	6453
299	3722	6439
300	3746	6448
301	3773	6459
302	3802	6476
303	3825	6479
304	3850	6489
305	3873	6493
